Campo,Conteúdo,ORD,Tam.,Tipo
REGISTRO-R3,CONSTANTE “3”,001,01,NUM
BANCO-R3,NUMERO DO BANCO,002,03,NUM
AGENCIA-R3,NÚMERO DA AGÊNCIA,003,04,NUM
C/CORRENTE-R3,NÚMERO DA CONTA CORRENTE,004,09,NUM
DÍGITO-R3,NÚMERO DO DÍGITO DA C/C,005,01,NUM
CHEQUE INICIAL-R3,NÚMERO DO CHEQUE INICIAL,006,06,NUM
DÍGITO INICIAL-R3,NÚMERO DO DÍGITO CHEQUE INICIAL,007,01,NUM
CHEQUE FINAL-R3,NÚMERO DO CHEQUE FINAL,008,06,NUM
DÍGITO FINAL-R3,NÚMERO DO DÍGITO CHEQUE FINAL,009,01,NUM
QTDE-R3,QUANTIDADE DE CHEQUE,010,02,NUM
BRANCOS-R3,CONSTANTE BRANCOS,011,88,ALF
NUMS-R3,NÚMERO DE SEQUÊNCIA DOS REGISTROS,012,06,NUM
