Campo,Conteúdo,ORD,Tam.,Tipo
REGISTRO-T,CONSTANTE = 9,001,01,NUM
DATAREM-T,DATA DA REMESSA = FORMATO DDMMAAAA,002,08,NUM
HORAREM-T,HORA DA REMESSA = FORMATO HHMM,003,04,NUM
NUMREM-T,NÚMERO DA REMESSA,004,10,NUM
TOTAL-D1-T,TOTAL DE REGISTROS DETALHE 1,005,06,NUM
TOTAL-D2-T,TOTAL DE REGISTROS DETALHE 2,006,06,NUM
TOTAL-D3-T,TOTAL DE REGISTROS DETALHE 3,007,06,NUM
QTDE-D1-PRO-T,TOTAL DETALHE 1 PROCESSADOS,008,06,NUM
QTDE-D2-PRO-T,TOTAL DETALHE 2 PROCESSADOS,009,06,NUM
QTDE-D3-PRO-T,TOTAL DETALHE 3 PROCESSADOS,010,06,NUM
QTDE-T,TOTAL DE REGISTROS 8,011,06,NUM
BRANCOS –T,CONSTANTE BRANCOS,012,57,ALF
NUMS-T,NÚMERO DE SEQUÊNCIA DOS REGISTROS,013,06,NUM
